"n","n_mod_13","n_mod_64","S_n_cyclic","T_n_2_s","T_bits","T_bits_2_T_n","n__6_bits","real_n","n_x","n_y","n_z","f_n","real_f_n","p_n","real_p_n","log(p_n)","a","b","c","test_prime",,"state","p_n","p_n=floor(a*n+b*f_n+c*p₀)+S_n+T_n","symbol_x","symbol_y","symbol_z","label_x","label_y","label_z","zeta_alpha","zeta_beta","zeta_gamma","S₀","S₁","S₂","R","G","B","H","S","V","LightFrec","SoundFreq","Energy","C₀","C₁","C₂","Midi₀","Midi₁","Midi_param_n"
0,0,0,0,0,"0","0","0",-1,-1,1,1,0,-1.00000000000000000000,13,0,1.11394335230684,0,0.00000000000000000000,1,13,0,"success",13,,,,,,,,,,,,,,,,,,,,,,,"Sound₁","Sound₂","Sound₃",,,
1,1,1,8,9,"1001","9","1",0,1,0,0,1,-0.85714285714285700000,17,0.133333333333333,1.23044892137827,1,-1.00000000000000000000,0,17,4,"success",17,,,,,,,,,,,,,,,,,,,,,,,"Sound₂","Sound₃",,,,
2,2,2,3,1,"1","1","10",0.333333333333333,10.3333333333333,0.032258064516129,0.032258064516129,1,-0.85714285714285700000,19,0.1875,1.27875360095283,0,2.00000000000000000000,1,19,6,"success",19,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
3,3,3,11,8,"1000","8","11",0.5,11.5,0.043478260869565,0.043478260869565,2,-0.73333333333333300000,23,0.277777777777778,1.36172783601759,1,0.50000000000000000000,0,23,10,"success",23,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
4,4,4,6,2,"10","2","100",0.6,100.6,0.00596421471173,0.00596421471173,3,-0.62500000000000000000,29,0.380952380952381,1.46239799789896,0,2.66666666666667000000,1,29,3,"success",29,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
5,5,5,1,4,"100","4","101",0.666666666666667,101.666666666667,0.00655737704918,0.00655737704918,5,-0.44444444444444400000,31,0.409090909090909,1.49136169383427,1,4.20000000000000000000,0,31,5,"success",31,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
6,6,6,9,15,"1111","F","110",0.714285714285714,110.714285714286,0.006451612903226,0.006451612903226,8,-0.23809523809523800000,37,0.48,1.56820172406699,0,0.00000000000000000000,1,37,11,"success",37,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
7,7,7,4,3,"11","3","111",0.75,111.75,0.006711409395973,0.006711409395973,13,0.00000000000000000000,41,0.518518518518518,1.61278385671974,1,2.07692307692308000000,0,41,2,"success",41,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
8,8,8,12,4,"100","4","1000",0.777777777777778,1000.77777777778,0.000777173309648,0.000777173309648,21,0.23529411764705900000,43,0.535714285714286,1.63346845557959,0,0.66666666666666700000,1,43,4,"success",43,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
9,9,9,7,14,"1110","E","1001",0.8,1001.8,0.000798562587343,0.000798562587343,34,0.44680851063829800000,47,0.566666666666667,1.67209785793572,1,0.50000000000000000000,0,47,8,"success",47,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
10,10,10,2,8,"1000","8","1010",0.818181818181818,1010.81818181818,0.000809425308031,0.000809425308031,55,0.61764705882352900000,53,0.606060606060606,1.72427586960079,0,0.54545454545454500000,1,53,1,"success",53,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
11,11,11,10,1,"1","1","1011",0.833333333333333,1011.83333333333,0.000823587547356,0.000823587547356,89,0.74509803921568600000,59,0.638888888888889,1.77085201164214,1,0.41573033707865200000,0,59,7,"success",59,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
12,12,12,5,9,"1001","9","1100",0.846153846153846,1100.84615384615,0.000768639508071,0.000768639508071,144,0.83439490445859900000,61,0.648648648648649,1.78532983501077,0,0.23611111111111100000,1,61,9,"success",61,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
13,0,13,0,0,"0","0","1101",0.857142857142857,1101.85714285714,0.000777907429016,0.000777907429016,233,0.89430894308943100000,67,0.675,1.82607480270083,1,0.23175965665236000000,0,67,2,"success",67,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
14,1,14,8,9,"1001","9","1110",0.866666666666667,1110.86666666667,0.00078017163776,0.00078017163776,377,0.93333333333333300000,71,0.69047619047619,1.85125834871908,0,0.10875331564986700000,1,71,6,"success",71,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
15,2,15,3,1,"1","1","1111",0.875,1111.875,0.000786958965711,0.000786958965711,610,0.95826645264847500000,73,0.697674418604651,1.86332286012046,1,0.08852459016393440000,0,73,8,"success",73,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
16,3,16,11,8,"1000","8","10000",0.882352941176471,10000.8823529412,8.82275093374114E-05,8.82275093374114E-05,987,0.97400000000000000000,79,0.717391304347826,1.89762709129044,0,0.04761904761904760000,1,79,1,"success",79,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
17,4,17,6,2,"10","2","10001",0.888888888888889,10001.8888888889,8.88721019363009E-05,8.88721019363009E-05,1597,0.98385093167701900000,83,0.729166666666667,1.91907809237607,1,0.03631809643080780000,0,83,5,"success",83,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
18,5,18,1,4,"100","4","10010",0.894736842105263,10010.8947368421,8.9376311071622E-05,8.9376311071622E-05,2584,0.98998844820947300000,89,0.745098039215686,1.94939000664491,0,0.02747678018575850000,1,89,11,"success",89,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
19,6,19,9,15,"1111","F","10011",0.9,10011.9,8.98930272975159E-05,8.98930272975159E-05,4181,0.99380066762041000000,97,0.763636363636364,1.98677173426624,1,0.01291557043769430000,0,97,6,"success",97,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
20,7,20,4,3,"11","3","10100",0.904761904761905,10100.9047619048,8.95723626832108E-05,8.95723626832108E-05,6765,0.99616406019474800000,101,0.771929824561403,2.00432137378264,0,0.01197339246119730000,1,101,10,"success",101,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
21,8,21,12,4,"100","4","10101",0.909090909090909,10101.9090909091,8.99919907128266E-05,8.99919907128266E-05,10946,0.99762752075919300000,103,0.775862068965517,2.01283722470517,1,0.00602959985382788000,0,103,12,"success",103,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
22,9,22,7,14,"1110","E","10110",0.91304347826087,10110.9130434783,9.03027722951095E-05,9.03027722951095E-05,17711,0.99853306251410500000,107,0.783333333333333,2.02938377768521,0,0.00412173225678957000,1,107,3,"success",107,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
23,10,23,2,8,"1000","8","10111",0.916666666666667,10111.9166666667,9.06521183751844E-05,9.06521183751844E-05,28657,0.99909312870596400000,109,0.786885245901639,2.03742649794062,1,0.00265205708901839000,0,109,5,"success",109,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
24,11,24,10,1,"1","1","11000",0.92,11000.92,8.36293691800322E-05,8.36293691800322E-05,46368,0.99943942562687300000,113,0.793650793650794,2.05307844348342,0,0.00191942719116632000,1,113,9,"success",113,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
25,12,25,5,9,"1001","9","11001",0.923076923076923,11001.9230769231,8.39014158363922E-05,8.39014158363922E-05,75025,0.99965350888883000000,127,0.814285714285714,2.10380372095596,1,0.00117294235254915000,0,127,10,"success",127,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
26,0,26,0,0,"0","0","11010",0.925925925925926,11010.9259259259,8.40915588893187E-05,8.40915588893187E-05,121393,0.99978584254485000000,131,0.819444444444444,2.11727129565576,0,0.00097204945919451700,1,131,1,"success",131,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
27,1,27,8,9,"1001","9","11011",0.928571428571429,11011.9285714286,8.43241420018551E-05,8.43241420018551E-05,196418,0.99986763800011200000,137,0.826666666666667,2.13672056715641,1,0.00047348002728874100,0,137,7,"success",137,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
28,2,28,3,1,"1","1","11100",0.931034482758621,11100.9310344828,8.3869945670913E-05,8.3869945670913E-05,317811,0.99991819371727800000,139,0.828947368421053,2.14301480025409,0,0.00038387595143025300,1,139,9,"success",139,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
29,3,29,11,8,"1000","8","11101",0.933333333333333,11101.9333333333,8.40694413585622E-05,8.40694413585622E-05,514229,0.99994944014685700000,149,0.839506172839506,2.17318626841227,1,0.00019641054860772100,0,149,6,"success",149,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
30,4,30,6,2,"10","2","11110",0.935483870967742,11110.935483871,8.4194879209381E-05,8.4194879209381E-05,832040,0.99996875199055800000,151,0.841463414634146,2.17897694729317,0,0.00015624248834190700,1,151,8,"success",151,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
31,5,31,1,4,"100","4","11111",0.9375,11111.9375,8.43687250760725E-05,8.43687250760725E-05,1346269,0.99998068755283100000,157,0.847058823529412,2.19589965240923,1,0.00008987802586258760,0,157,1,"success",157,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
32,6,32,9,15,"1111","F","100000",0.939393939393939,100000.939393939,9.39385114867103E-06,9.39385114867103E-06,2178309,0.99998806420722000000,163,0.852272727272727,2.21218760440396,0,0.00005784303328866570,1,163,7,"success",163,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
33,7,33,4,3,"11","3","100001",0.941176470588235,100001.941176471,9.41158201046686E-06,9.41158201046686E-06,3524578,0.99999262325756400000,167,0.855555555555556,2.22271647114758,1,0.00003603268249418800,0,167,11,"success",167,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
34,8,34,12,4,"100","4","100010",0.942857142857143,100010.942857143,9.42753978636052E-06,9.42753978636052E-06,5702887,0.99999544091602500000,173,0.860215053763441,2.2380461031288,0,0.00002525036880443190,1,173,4,"success",173,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
35,9,35,7,14,"1110","E","100011",0.944444444444444,100011.944444444,9.44331649275225E-06,9.44331649275225E-06,9227465,0.99999718232869300000,179,0.864583333333333,2.25285303097989,1,0.00001332977150279090,0,179,10,"success",179,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
36,10,36,2,8,"1000","8","100100",0.945945945945946,100100.945945946,9.44992014817475E-06,9.44992014817475E-06,14930352,0.99999825858242600000,181,0.865979381443299,2.25767857486918,0,0.00001058246985737510,1,181,12,"success",181,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
37,11,37,10,1,"1","1","100101",0.947368421052632,100101.947368421,9.46403587500532E-06,9.46403587500532E-06,24157817,0.99999892374439300000,191,0.872549019607843,2.28103336724773,1,0.00000591940902607218,0,191,9,"success",191,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
38,12,38,5,9,"1001","9","100110",0.948717948717949,100110.948717949,9.4766652485819E-06,9.4766652485819E-06,39088169,0.99999933483731700000,193,0.87378640776699,2.28555730900777,0,0.00000424680930948697,1,193,11,"success",193,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
39,0,39,0,0,"0","0","100111",0.95,100111.95,9.48937664284833E-06,9.48937664284833E-06,63245986,0.99999958890680200000,197,0.876190476190476,2.29446622616159,1,0.00000249818225618302,0,197,2,"success",197,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
40,1,40,8,9,"1001","9","101000",0.951219512195122,101000.951219512,9.41792627405827E-06,9.41792627405827E-06,102334155,0.99999974593041100000,199,0.877358490566038,2.29885307640971,0,0.00000165145253801138,1,199,4,"success",199,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
41,2,41,3,1,"1","1","101001",0.952380952380952,101001.952380952,9.42933210626292E-06,9.42933210626292E-06,165580141,0.99999984297635100000,211,0.883928571428571,2.32428245529769,1,0.00000100253568451787,0,211,3,"success",211,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
