index,nmod,symbol,smod,cplx_index,z_time_phase,z_time_norm,z_time,z_carrier,zeta_symbol,psi_v,psi_v_z,z_log_scat,z_carrier_information,z_time_norm_phase,is_symbol_prime,is_n_prime,is_symbol_fibo,is_n_fibo
0,0,0,0,(0.02564102564102564+0j),(3.952349158738947+0.6155778808692974j),(0.5+0.8660254037844386j),(0.15683004138812975+0.19469036472870838j),(2.077998048392719+2.579647332655386j),(1+0j),(0.12564102564102564+0j),(2.1779980483927193+2.579647332655386j),(0.1+0j),8.58849800490154,(0.9869387632601437+0.16109586454821875j),0,0,0,0
1,1,1,1,(0.025308981093279816+0.004113109765583596j),(7.6210638725844655+2.4329787195920716j),(1+1.7320508075688772j),(0.18492354107268447+0.1682357986789351j),(2.0803898370677003+2.0834278570139677j),(0.9870502626379128+0.16041128085776024j),(0.1240140073570711+0.02015423785135962j),(2.1790948633314917+2.099468985099744j),(0.15644376526080603+0.02542458648521994j),8.58849800490154,(1.8961924897018478+0.6359670132941705j),0,0,0,0
2,2,2,2,(0.024321447229413987+0.008119692148755705j),(10.733781562911904+5.3652524040992216j),(1.5+2.598076211353316j),(0.2086111596066961+0.13777294396052364j),(1.929653226361939+1.5868617686289717j),(0.9485364419471455+0.3166679938014725j),(0.11917509142412853+0.039786491528902956j),(2.0245068705566536+1.6185285680091188j),(0.1897072883894291+0.0633335987602945j),8.58849800490154,(2.6534613222881123+1.3996938990797319j),1,1,0,0
3,3,3,3,(0.02270400065777461+0.011915978770353039j),(13.040307275006063+9.270943111324973j),(2+3.4641016151377544j),(0.22732852951485624+0.1040275909007467j),(1.6481318389827078+1.108093970191269j),(0.8854560256532099+0.4647231720437685j),(0.11124960322309561+0.058388295974729894j),(1.7366774415480288+1.154566287395646j),(0.2055965222751493+0.10790537895135993j),8.58849800490154,(3.1910919160033844+2.4118317486130425j),1,1,0,0
4,4,4,4,(0.020498532394961567+0.015403647800973816j),(14.322768741855734+13.959165289060815j),(2.5+4.330127018922193j),(0.240629701586006+0.06780373673057924j),(1.2633059333265315+0.6635204777594004j),(0.7994427634035012+0.6007422642379788j),(0.10044280873531168+0.0754778742247717j),(1.3432502096668817+0.7235947041831983j),(0.2066529564870946+0.15528962256534953j),8.58849800490154,(3.451095235427702+3.618002442786379j),0,0,0,0
5,5,5,5,(0.01776216291050255+0.01849237044471319j),(14.404688880102508+19.196482445163j),(3+5.196152422706632j),(0.2481977698006711+0.029964430012484264j),(0.806642751852181+0.2672789096617553j),(0.6927243535095995+0.7212024473438144j),(0.0870345982614625+0.09061261517909464j),(0.875915187203141+0.33939915439613677j),(0.1944723123454346+0.20246712403506478j),8.58849800490154,(3.387809318505302+4.952044832334278j),1,1,0,0
6,6,6,6,(0.014565762736696306+0.02110215040752965j),(13.158667081417464+24.715369320332247j),(3.5+6.06217782649107j),(0.2498524217502767-0.008588791854612166j),(0.3123155271878459-0.06917282047014521j),(0.5680647467311559+0.8229838658936564j),(0.0713722374098119+0.10340053699689529j),(0.3691220018609615+0.01312556611922043j),(0.17041942401934682+0.24689515976809695j),8.58849800490154,(2.970107461323782+6.338648252442218j),0,0,0,0
7,7,7,7,(0.010992116959052672+0.023165395759240568j),(10.512403456644007+30.223986725194596j),(4+6.928203230275509j),(0.24555423465612627-0.04693738214306441j),(-0.1841656759920947-0.3373775561343804j),(0.42869256140305423+0.9034504346103822j),(0.0538613730993581+0.11351043922027879j),(-0.14129641985178928-0.2470325126733422j),(0.13589232683238853+0.2863870120235374j),8.58849800490154,(2.183067616382152+7.696376795759387j),1,1,0,0
8,8,8,8,(0.007133781126062891+0.024628669529009543j),(6.452851291445889+35.41695512336549j),(4.5+7.794228634059947j),(0.23540561463368673-0.08416766955866241j),(-0.6473654402426385-0.5320909015311904j),(0.27821746391645275+0.9605181116313722j),(0.03495552751770817+0.12068048069214676j),(-0.6195436938509933-0.4360390903680532j),(0.09242184098723753+0.3190772100676411j),8.58849800490154,(1.029037027076731+8.940977731596533j),0,0,0,0
9,9,9,9,(0.003090684109110852+0.025454073694821895j),(1.028340886535931+39.98677925291156j),(5+8.660254037844386j),(0.21964835682381195-0.11939262684353409j),(-1.0433296949131068-0.651378874837319j),(0.12053668025532323+0.992708874098054j),(0.015144352134643175+0.1247249611046273j),(-1.0312760268875745-0.5521079874275137j),(0.04169884028808392+0.34342084671566403j),8.58849800490154,(-0.47195334080656787+9.988856793652689j),0,0,0,0
10,10,10,10,(-0.0010324600028055102+0.02562023072234794j),(-5.651419014312099+43.63555274228426j),(5.5+9.526279441628825j),(0.19865788452180594-0.15177300457367512j),(-1.3409407205221902-0.696599534906251j),(-0.0402659401094149+0.9991889981715697j),(-0.005059054013747+0.1255391305395049j),(-1.3449673145331316-0.5966806350890941j),(-0.014435188534853635+0.3582055089578217j),8.58849800490154,(-2.282447824265351+10.760596262731276j),0,0,0,0
11,11,11,11,(-0.005128863942975495+0.025122837231853018j),(-13.41748971124186+46.086559535820406j),(6+10.392304845413264j),(0.17293430455949743-0.18053732662948951j),(-1.5131751648956024-0.672270554723602j),(-0.20002569377604434+0.9797906520422677j),(-0.025131433320579932+0.1231019024360798j),(-1.533177734273207-0.5742914895193751j),(-0.0740183021897602+0.3625656244280566j),8.58849800490154,(-4.348498680965756+11.184389085758731j),1,1,0,0
12,12,12,12,(-0.009092433001090652+0.023974775453472173j),(-22.045960849312912+47.095388417875505j),(6.5+11.258330249197702j),(0.14309049204961127-0.20500027093884562j),(-1.5382227895333211-0.5858282809509072j),(-0.35460488704253545+0.9350162426854148j),(-0.0445529217053442+0.11747639972201365j),(-1.5736832782375747-0.49232665668236575j),(-0.13501066620670782+0.3559938693792121j),8.58849800490154,(-6.6012491343983974+11.199263809090505j),0,0,0,0
