"n","n_mod_13","n_mod_64","S_n_cyclic","T_n_2_s","T_bits","T_bits_2_T_n","n__6_bits","real_n","n_x","n_y","n_z","f_n","real_f_n","p_n","real_p_n","log(p_n)","a","b","c","test_prime","p_mod_78","state","p_n"
0,0,0,0,0,"0","0","0",-1,-1,1,1,0,-1,13,0,1.11394335230684,0,0,1,13,13,"success",13
1,1,1,8,9,"1001","9","1",0,1,0,0,1,-0.857142857142857,17,0.133333333333333,1.23044892137827,1,-1,0,17,17,"success",17
2,2,2,3,1,"1","1","10",0.333333333333333,10.3333333333333,0.032258064516129,0.032258064516129,1,-0.857142857142857,19,0.1875,1.27875360095283,0,2,1,19,19,"success",19
3,3,3,11,8,"1000","8","11",0.5,11.5,0.043478260869565,0.043478260869565,2,-0.733333333333333,23,0.277777777777778,1.36172783601759,1,0.5,0,23,23,"success",23
4,4,4,6,2,"10","2","100",0.6,100.6,0.00596421471173,0.00596421471173,3,-0.625,29,0.380952380952381,1.46239799789896,0,2.66666666666667,1,29,29,"success",29
5,5,5,1,4,"100","4","101",0.666666666666667,101.666666666667,0.00655737704918,0.00655737704918,5,-0.444444444444444,31,0.409090909090909,1.49136169383427,1,4.2,0,31,31,"success",31
6,6,6,9,15,"1111","F","110",0.714285714285714,110.714285714286,0.006451612903226,0.006451612903226,8,-0.238095238095238,37,0.48,1.56820172406699,0,0,1,37,37,"success",37
7,7,7,4,3,"11","3","111",0.75,111.75,0.006711409395973,0.006711409395973,13,0,41,0.518518518518518,1.61278385671974,1,2.07692307692308,0,41,41,"success",41
8,8,8,12,4,"100","4","1000",0.777777777777778,1000.77777777778,0.000777173309648,0.000777173309648,21,0.235294117647059,43,0.535714285714286,1.63346845557959,0,0.666666666666667,1,43,43,"success",43
9,9,9,7,14,"1110","E","1001",0.8,1001.8,0.000798562587343,0.000798562587343,34,0.446808510638298,47,0.566666666666667,1.67209785793572,1,0.5,0,47,47,"success",47
10,10,10,2,8,"1000","8","1010",0.818181818181818,1010.81818181818,0.000809425308031,0.000809425308031,55,0.617647058823529,53,0.606060606060606,1.72427586960079,0,0.545454545454545,1,53,53,"success",53
11,11,11,10,1,"1","1","1011",0.833333333333333,1011.83333333333,0.000823587547356,0.000823587547356,89,0.745098039215686,59,0.638888888888889,1.77085201164214,1,0.415730337078652,0,59,59,"success",59
12,12,12,5,9,"1001","9","1100",0.846153846153846,1100.84615384615,0.000768639508071,0.000768639508071,144,0.834394904458599,61,0.648648648648649,1.78532983501077,0,0.236111111111111,1,61,61,"success",61
13,0,13,0,0,"0","0","1101",0.857142857142857,1101.85714285714,0.000777907429016,0.000777907429016,233,0.894308943089431,67,0.675,1.82607480270083,1,0.23175965665236,0,67,67,"success",67
14,1,14,8,9,"1001","9","1110",0.866666666666667,1110.86666666667,0.00078017163776,0.00078017163776,377,0.933333333333333,71,0.69047619047619,1.85125834871908,0,0.108753315649867,1,71,71,"success",71
15,2,15,3,1,"1","1","1111",0.875,1111.875,0.000786958965711,0.000786958965711,610,0.958266452648475,73,0.697674418604651,1.86332286012046,1,0.088524590163935,0,73,73,"success",73
16,3,16,11,8,"1000","8","10000",0.882352941176471,10000.8823529412,8.82275093374114E-05,8.82275093374114E-05,987,0.974,79,0.717391304347826,1.89762709129044,0,0.047619047619048,1,79,1,"success",79
17,4,17,6,2,"10","2","10001",0.888888888888889,10001.8888888889,8.88721019363009E-05,8.88721019363009E-05,1597,0.983850931677019,83,0.729166666666667,1.91907809237607,1,0.036318096430808,0,83,5,"success",83
18,5,18,1,4,"100","4","10010",0.894736842105263,10010.8947368421,8.9376311071622E-05,8.9376311071622E-05,2584,0.989988448209473,89,0.745098039215686,1.94939000664491,0,0.027476780185759,1,89,11,"success",89
19,6,19,9,15,"1111","F","10011",0.9,10011.9,8.98930272975159E-05,8.98930272975159E-05,4181,0.99380066762041,97,0.763636363636364,1.98677173426624,1,0.012915570437694,0,97,19,"success",97
20,7,20,4,3,"11","3","10100",0.904761904761905,10100.9047619048,8.95723626832108E-05,8.95723626832108E-05,6765,0.996164060194748,101,0.771929824561403,2.00432137378264,0,0.011973392461197,1,101,23,"success",101
21,8,21,12,4,"100","4","10101",0.909090909090909,10101.9090909091,8.99919907128266E-05,8.99919907128266E-05,10946,0.997627520759193,103,0.775862068965517,2.01283722470517,1,0.006029599853828,0,103,25,"success",103
22,9,22,7,14,"1110","E","10110",0.91304347826087,10110.9130434783,9.03027722951095E-05,9.03027722951095E-05,17711,0.998533062514105,107,0.783333333333333,2.02938377768521,0,0.00412173225679,1,107,29,"success",107
23,10,23,2,8,"1000","8","10111",0.916666666666667,10111.9166666667,9.06521183751844E-05,9.06521183751844E-05,28657,0.999093128705964,109,0.786885245901639,2.03742649794062,1,0.002652057089018,0,109,31,"success",109
24,11,24,10,1,"1","1","11000",0.92,11000.92,8.36293691800322E-05,8.36293691800322E-05,46368,0.999439425626873,113,0.793650793650794,2.05307844348342,0,0.001919427191166,1,113,35,"success",113
25,12,25,5,9,"1001","9","11001",0.923076923076923,11001.9230769231,8.39014158363922E-05,8.39014158363922E-05,75025,0.99965350888883,127,0.814285714285714,2.10380372095596,1,0.001172942352549,0,127,49,"success",127
26,0,26,0,0,"0","0","11010",0.925925925925926,11010.9259259259,8.40915588893187E-05,8.40915588893187E-05,121393,0.99978584254485,131,0.819444444444444,2.11727129565576,0,0.000972049459195,1,131,53,"success",131
27,1,27,8,9,"1001","9","11011",0.928571428571429,11011.9285714286,8.43241420018551E-05,8.43241420018551E-05,196418,0.999867638000112,137,0.826666666666667,2.13672056715641,1,0.000473480027289,0,137,59,"success",137
28,2,28,3,1,"1","1","11100",0.931034482758621,11100.9310344828,8.3869945670913E-05,8.3869945670913E-05,317811,0.999918193717278,139,0.828947368421053,2.14301480025409,0,0.00038387595143,1,139,61,"success",139
29,3,29,11,8,"1000","8","11101",0.933333333333333,11101.9333333333,8.40694413585622E-05,8.40694413585622E-05,514229,0.999949440146857,149,0.839506172839506,2.17318626841227,1,0.000196410548608,0,149,71,"success",149
30,4,30,6,2,"10","2","11110",0.935483870967742,11110.935483871,8.4194879209381E-05,8.4194879209381E-05,832040,0.999968751990558,151,0.841463414634146,2.17897694729317,0,0.000156242488342,1,151,73,"success",151
31,5,31,1,4,"100","4","11111",0.9375,11111.9375,8.43687250760725E-05,8.43687250760725E-05,1346269,0.999980687552831,157,0.847058823529412,2.19589965240923,1,8.98780258625876E-05,0,157,1,"success",157
32,6,32,9,15,"1111","F","100000",0.939393939393939,100000.939393939,9.39385114867103E-06,9.39385114867103E-06,2178309,0.99998806420722,163,0.852272727272727,2.21218760440396,0,5.78430332886657E-05,1,163,7,"success",163
33,7,33,4,3,"11","3","100001",0.941176470588235,100001.941176471,9.41158201046686E-06,9.41158201046686E-06,3524578,0.999992623257564,167,0.855555555555556,2.22271647114758,1,3.6032682494188E-05,0,167,11,"success",167
34,8,34,12,4,"100","4","100010",0.942857142857143,100010.942857143,9.42753978636052E-06,9.42753978636052E-06,5702887,0.999995440916025,173,0.860215053763441,2.2380461031288,0,2.52503688044319E-05,1,173,17,"success",173
35,9,35,7,14,"1110","E","100011",0.944444444444444,100011.944444444,9.44331649275225E-06,9.44331649275225E-06,9227465,0.999997182328693,179,0.864583333333333,2.25285303097989,1,1.33297715027909E-05,0,179,23,"success",179
36,10,36,2,8,"1000","8","100100",0.945945945945946,100100.945945946,9.44992014817475E-06,9.44992014817475E-06,14930352,0.999998258582426,181,0.865979381443299,2.25767857486918,0,1.05824698573751E-05,1,181,25,"success",181
37,11,37,10,1,"1","1","100101",0.947368421052632,100101.947368421,9.46403587500532E-06,9.46403587500532E-06,24157817,0.999998923744393,191,0.872549019607843,2.28103336724773,1,5.91940902607218E-06,0,191,35,"success",191
38,12,38,5,9,"1001","9","100110",0.948717948717949,100110.948717949,9.4766652485819E-06,9.4766652485819E-06,39088169,0.999999334837317,193,0.87378640776699,2.28555730900777,0,4.24680930948697E-06,1,193,37,"success",193
39,0,39,0,0,"0","0","100111",0.95,100111.95,9.48937664284833E-06,9.48937664284833E-06,63245986,0.999999588906802,197,0.876190476190476,2.29446622616159,1,2.49818225618302E-06,0,197,41,"success",197
40,1,40,8,9,"1001","9","101000",0.951219512195122,101000.951219512,9.41792627405827E-06,9.41792627405827E-06,102334155,0.999999745930411,199,0.877358490566038,2.29885307640971,0,1.65145253801138E-06,1,199,43,"success",199
41,2,41,3,1,"1","1","101001",0.952380952380952,101001.952380952,9.42933210626292E-06,9.42933210626292E-06,165580141,0.999999842976351,211,0.883928571428571,2.32428245529769,1,1.00253568451787E-06,0,211,55,"success",211
42,3,42,11,8,"1000","8","101010",0.953488372093023,101010.953488372,9.43945521910933E-06,9.43945521910933E-06,267914296,0.999999902954045,223,0.889830508474576,2.34830486304816,0,7.12914550853233E-07,1,223,67,"success",223
43,4,43,6,2,"10","2","101011",0.954545454545455,101011.954545455,9.44982659568197E-06,9.44982659568197E-06,433494437,0.9999999400223,227,0.891666666666667,2.35602585719312,1,4.06002903331375E-07,0,227,71,"success",227
44,5,44,1,4,"100","4","101100",0.955555555555556,101100.955555556,9.45149875492989E-06,9.45149875492989E-06,701408733,0.999999962931743,229,0.892561983471074,2.35983548233989,0,3.00823172100425E-07,1,229,73,"success",229
45,6,45,9,15,"1111","F","101101",0.956521739130435,101101.956521739,9.46096170675749E-06,9.46096170675749E-06,1134903170,0.999999977090557,233,0.894308943089431,2.36735592102602,1,1.44505720254531E-07,0,233,77,"success",233
46,7,46,4,3,"11","3","101110",0.957446808510638,101110.957446809,9.46926854109084E-06,9.46926854109084E-06,1836311903,0.999999985841185,239,0.896825396825397,2.37839790094814,0,1.19260785513734E-07,1,239,5,"success",239
47,8,47,12,4,"100","4","101111",0.958333333333333,101111.958333333,9.47794256119557E-06,9.47794256119557E-06,2971215073,0.999999991249371,241,0.89763779527559,2.38201704257487,1,5.99081505803872E-08,0,241,7,"success",241
48,9,48,7,14,"1110","E","110000",0.959183673469388,110000.959183673,8.71977554184592E-06,8.71977554184592E-06,4807526976,0.999999994591814,251,0.901515151515151,2.39967372148104,0,4.51375522349227E-08,1,251,17,"success",251
49,10,49,2,8,"1000","8","110001",0.96,110001.96,8.72711722591125E-06,8.72711722591125E-06,7778742049,0.999999996657557,257,0.903703703703704,2.40993312333129,1,2.54539871296354E-08,0,257,23,"success",257
