"n","Nb₃","Nb₂","Nb₁","Nb₀","S_n","Sb₃","Sb₂","Sb₁","Sb₀","T_n_2_S","Tb₃","Tb₂","Tb₁","Tb₀","Tb₃","Tb₂","Tb₁","Tb₀","F_n","p_n","a","b","c","t_p","valid","clk_twirl","real_n","valid_equations for p_0=13",9,1,8,2,4,15,3,4,14,8,1,9,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NOP","NOP","NOP","NOP",0,13,0,0.0000000000000,1,13,1,13,-1,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
1,0,0,0,1,8,1,0,0,0,9,1,0,0,1,"FLIP","NOP","NOP","FLIP",1,17,0,0.0000000000000,0,17,1,11,0,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
2,0,0,1,0,3,0,0,1,1,1,0,0,0,1,"NOP","NOP","NOP","FLIP",1,19,1,0.0000000000000,1,19,1,7,0.333333333333333,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
3,0,0,1,1,11,1,0,1,1,8,1,0,0,0,"FLIP","NOP","NOP","NOP",2,23,2,-1.0000000000000,0,23,1,5,0.5,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
4,0,1,0,0,6,0,1,1,0,2,0,0,1,0,"NOP","NOP","FLIP","NOP",3,29,5,-4.0000000000000,1,29,1,3,0.6,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
5,0,1,0,1,1,0,0,0,1,4,0,1,0,0,"NOP","FLIP","NOP","NOP",5,31,5,0.2000000000000,0,31,1,2,0.666666666666667,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
6,0,1,1,0,9,1,0,0,1,15,1,1,1,1,"FLIP","FLIP","FLIP","FLIP",8,37,0,0.0000000000000,1,37,1,1,0.714285714285714,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
7,0,1,1,1,4,0,1,0,0,3,0,0,1,1,"NOP","NOP","FLIP","FLIP",13,41,5,-0.0100000000000,0,41,1,0,0.75,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
8,1,0,0,0,12,1,1,0,0,4,0,1,0,0,"NOP","FLIP","NOP","NOP",21,43,2,-0.0500000000000,1,43,1,-13,0.777777777777778,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
9,1,0,0,1,7,0,1,1,1,14,1,1,1,0,"FLIP","FLIP","FLIP","NOP",34,47,3,-0.0100000000000,0,47,1,-11,0.8,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
10,1,0,1,0,2,0,0,1,0,8,1,0,0,0,"FLIP","NOP","NOP","NOP",55,53,3,0.0000000000000,1,53,1,-7,0.818181818181818,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
11,1,0,1,1,10,1,0,1,0,1,0,0,0,1,"NOP","NOP","NOP","FLIP",89,59,4,0.0500000000000,0,59,1,-5,0.833333333333333,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
12,1,1,0,0,5,0,1,0,1,9,1,0,0,1,"FLIP","NOP","NOP","FLIP",144,61,3,-0.0100000000000,1,61,1,-3,0.846153846153846,"(a*n+F_n*b+p_0*c)+S_n+T_n=p_n",,,,,,,,,,,,,,
